date,cluster,wechsel,grund,vix,spy
2026-08-17,GEO,VOLLGAS->TEILBREMSE,S1: Momentum +22Pp/5T,15.1899995803833,772.6699829101562
2026-08-28,MAKRO,VOLLGAS->TEILBREMSE,S1: Momentum +20Pp/5T,14.430000305175781,769.3499755859375
