timestamp,market_id,event_slug,title,volume,price_yes,status,tags
2026-06-18T12:17:14.230832,691547,kraken-ipo-in-2025,"Kraken IPO by December 31, 2026?",539885.5075460018,0.35,active,"exchange, tech, crypto, finance, business, 2025 predictions, featured, ipos, crypto listings"
2026-06-18T12:17:14.230879,597967,starmer-out-in-2025,"Starmer out by June 30, 2026?",5931648.147296044,0.285,active,"starmer, uk, keir, grooming gangs, politics, world"
2026-06-18T12:17:14.230884,666655,starmer-out-in-2025,"Starmer out by December 31, 2026?",3159344.0364769856,0.87,active,"starmer, uk, keir, grooming gangs, politics, world"
2026-06-18T12:17:14.230934,540817,what-will-happen-before-gta-vi,New Rihanna Album before GTA VI?,828825.2880400063,0.515,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230937,540818,what-will-happen-before-gta-vi,New Playboi Carti Album before GTA VI?,740588.6581449467,0.535,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230940,540819,what-will-happen-before-gta-vi,Will Jesus Christ return before GTA VI?,11582421.810750745,0.495,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230945,540820,what-will-happen-before-gta-vi,Trump out as President before GTA VI?,665925.7599680071,0.505,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230949,540843,what-will-happen-before-gta-vi,Will China invades Taiwan before GTA VI?,1866510.3041490659,0.505,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230952,540844,what-will-happen-before-gta-vi,Will bitcoin hit $1m before GTA VI?,4481639.233365514,0.4955,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230955,573647,what-will-happen-before-gta-vi,Will GPT-6 be released before GTA VI?,661083.087311997,0.53,active,"culture, all, politics, gta vi"
2026-06-18T12:17:14.230976,677366,will-russia-capture-kostyantynivka-by,"Will Russia capture Kostyantynivka by December 31, 2026?",589093.027686,0.915,active,"ukraine, politics, world, geopolitics, russia capture, ukraine map"
2026-06-18T12:17:14.230980,1397260,will-russia-capture-kostyantynivka-by,Will Russia capture Kostyantynivka by June 30?,563182.007991001,0.278,active,"ukraine, politics, world, geopolitics, russia capture, ukraine map"
2026-06-18T12:17:14.230990,1124834,us-x-russia-military-clash-by,"US x Russia military clash by December 31, 2026?",905178.4953499996,0.0615,active,"trump presidency, trump, geopolitics, world, military actions, us-iran"
2026-06-18T12:17:14.231006,677273,israel-and-syria-normalize-relations-in-2025,"Israel and Syria normalize relations by December 31, 2026?",633092.393376997,0.125,active,"israel, middle east, geopolitics, world, syria, trump x al-sharaa"
2026-06-18T12:17:14.231024,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,10309206.538207881,0.0675,active,"geopolitics, world, world affairs, earn 4%, macro geopolitics, hfc"
2026-06-18T12:17:14.231046,559661,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,11747027.214119919,0.0985,active,"world elections, global elections, elections, politics, us election, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231085,559653,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,13345882.557225136,0.0905,active,"world elections, global elections, elections, politics, us election, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231134,559658,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,12196690.37891693,0.0715,active,"world elections, global elections, elections, politics, us election, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231143,559652,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,25961941.889071364,0.2425,active,"world elections, global elections, elections, politics, us election, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231152,560317,putin-out-before-2027,"Putin out as President of Russia by December 31, 2026?",7792648.958609996,0.085,active,"putin, geopolitics, ukraine, politics, world, russia, earn 4%"
2026-06-18T12:17:14.231170,561229,presidential-election-winner-2028,Will JD Vance win the 2028 US Presidential Election?,13695825.304652898,0.1665,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231178,561230,presidential-election-winner-2028,Will Gavin Newsom win the 2028 US Presidential Election?,17057602.825267125,0.1595,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231187,561261,presidential-election-winner-2028,Will Jon Ossoff win the 2028 US Presidential Election?,4685432.892082977,0.0515,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231195,561234,presidential-election-winner-2028,Will Marco Rubio win the 2028 US Presidential Election?,10562485.351632984,0.1565,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231199,561231,presidential-election-winner-2028,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,12069788.517781863,0.0555,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231217,561239,presidential-election-winner-2028,Will Kamala Harris win the 2028 US Presidential Election?,7907684.699270005,0.0505,active,"world elections, global elections, us election, elections, politics, earn 4%, president, united states, main election"
2026-06-18T12:17:14.231269,561974,republican-presidential-nominee-2028,Will J.D. Vance win the 2028 Republican presidential nomination?,13440204.61254,0.3315,active,"politics, us election, elections, world elections, global elections, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231276,561975,republican-presidential-nominee-2028,Will Marco Rubio win the 2028 Republican presidential nomination?,9236845.239306567,0.239,active,"politics, us election, elections, world elections, global elections, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231308,561996,republican-presidential-nominee-2028,Will Tucker Carlson win the 2028 Republican presidential nomination?,11452896.235465972,0.0655,active,"politics, us election, elections, world elections, global elections, earn 4%, primaries, united states, international election props"
2026-06-18T12:17:14.231365,562793,which-party-will-win-the-senate-in-2026,Will the Democratic Party control the Senate after the 2026 Midterm elections?,1466935.5739220108,0.435,active,"us election, politics, midterms, world elections, global elections, elections, earn 4%, parent for derivative, senate, united states, congress, main election"
2026-06-18T12:17:14.231369,562794,which-party-will-win-the-senate-in-2026,Will the Republican Party control the Senate after the 2026 Midterm elections?,1294017.9697300107,0.555,active,"us election, politics, midterms, world elections, global elections, elections, earn 4%, parent for derivative, senate, united states, congress, main election"
2026-06-18T12:17:14.231376,562802,which-party-will-win-the-house-in-2026,Will the Democratic Party control the House after the 2026 Midterm elections?,4052532.258138951,0.805,active,"us election, politics, midterms, world elections, elections, global elections, earn 4%, parent for derivative, united states, main election"
2026-06-18T12:17:14.231379,562803,which-party-will-win-the-house-in-2026,Will the Republican Party control the House after the 2026 Midterm elections?,3413682.519877948,0.195,active,"us election, politics, midterms, world elections, elections, global elections, earn 4%, parent for derivative, united states, main election"
2026-06-18T12:17:14.231388,562828,balance-of-power-2026-midterms,"2026 Balance of Power: D Senate, D House",2018050.2458540068,0.425,active,"politics, us election, elections, global elections, midterms, earn 4%, rewards 20, 4.5, 50, united states, main election"
2026-06-18T12:17:14.231393,562830,balance-of-power-2026-midterms,"2026 Balance of Power: R Senate, D House",1515552.0057759883,0.355,active,"politics, us election, elections, global elections, midterms, earn 4%, rewards 20, 4.5, 50, united states, main election"
2026-06-18T12:17:14.231398,562831,balance-of-power-2026-midterms,"2026 Balance of Power: R Senate, R House",1724095.7444670126,0.175,active,"politics, us election, elections, global elections, midterms, earn 4%, rewards 20, 4.5, 50, united states, main election"
2026-06-18T12:17:14.231410,565064,which-party-wins-2028-us-presidential-election,Will the Republicans win the 2028 US Presidential Election?,1040608.6174549949,0.405,active,"us election, elections, politics, global elections, earn 4%, international election props"
2026-06-18T12:17:14.231414,565065,which-party-wins-2028-us-presidential-election,Will the Democrats win the 2028 US Presidential Election?,820507.6099019998,0.585,active,"us election, elections, politics, global elections, earn 4%, international election props"
2026-06-18T12:17:14.231432,566760,will-trump-pardon-ghislaine-maxwell,Will Trump pardon Ghislaine Maxwell by end of 2026?,686009.7472700019,0.11,active,"epstein, politics, trump, maxwell, ghislaine maxwell, earn 4%"
