timestamp,market_id,event_slug,title,volume,price_yes,status,tags
2026-07-07T07:00:15.611528,691547,kraken-ipo-in-2025,"Kraken IPO by December 31, 2026?",544602.213490002,0.225,active,"crypto, exchange, finance, business, 2025 predictions, featured, ipos, crypto listings"
2026-07-07T07:00:15.611620,540817,what-will-happen-before-gta-vi,New Rihanna Album before GTA VI?,849807.042417016,0.51,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611626,540818,what-will-happen-before-gta-vi,New Playboi Carti Album before GTA VI?,747717.5100609465,0.515,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611631,540819,what-will-happen-before-gta-vi,Will Jesus Christ return before GTA VI?,11794662.663230734,0.495,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611635,540820,what-will-happen-before-gta-vi,Trump out as President before GTA VI?,692917.9700610087,0.495,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611639,540843,what-will-happen-before-gta-vi,Will China invades Taiwan before GTA VI?,1902806.576251067,0.505,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611643,540844,what-will-happen-before-gta-vi,Will bitcoin hit $1m before GTA VI?,4590920.011145563,0.4965,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611647,573647,what-will-happen-before-gta-vi,Will GPT-6 be released before GTA VI?,674321.5669709981,0.505,active,"culture, all, politics, gta vi"
2026-07-07T07:00:15.611673,677366,will-russia-capture-kostyantynivka-by,"Will Russia capture Kostyantynivka by December 31, 2026?",869198.5933560003,0.941,active,"ukraine, politics, world, geopolitics, russia capture, ukraine map"
2026-07-07T07:00:15.611695,1124834,us-x-russia-military-clash-by,"US x Russia military clash by December 31, 2026?",1021431.8137200022,0.057,active,"trump presidency, trump, geopolitics, world, military actions, us-iran"
2026-07-07T07:00:15.611715,677273,israel-and-syria-normalize-relations-in-2025,"Israel and Syria normalize relations by December 31, 2026?",642080.7364259971,0.07,active,"israel, middle east, geopolitics, world, syria, trump x al-sharaa"
2026-07-07T07:00:15.611726,1007579,will-russia-capture-sumy-before-october,"Will Russia capture Sumy by March 31, 2027?",333559.5967120073,0.105,active,"geopolitics, ukraine, world, putin, russia capture, ukraine map"
2026-07-07T07:00:15.611746,559652,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,26355279.681554288,0.191,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-07T07:00:15.611751,559653,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,13816645.168431139,0.1385,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-07T07:00:15.611757,559655,democratic-presidential-nominee-2028,Will Josh Shapiro win the 2028 Democratic presidential nomination?,9062951.624216156,0.0525,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-07T07:00:15.611766,559658,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,12480029.504013926,0.066,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-07T07:00:15.611775,559661,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,11999440.711000895,0.1055,active,"united states, elections, politics, us election, world elections, earn 4%, primaries"
2026-07-07T07:00:15.611898,560317,putin-out-before-2027,"Putin out as President of Russia by December 31, 2026?",16150959.116755076,0.095,active,"putin, geopolitics, ukraine, politics, world, russia, earn 4%"
2026-07-07T07:00:15.611906,561229,presidential-election-winner-2028,Will JD Vance win the 2028 US Presidential Election?,14540327.926478978,0.2005,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.611910,561230,presidential-election-winner-2028,Will Gavin Newsom win the 2028 US Presidential Election?,17306942.467133153,0.1215,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.611914,561231,presidential-election-winner-2028,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,12484913.976398876,0.074,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.611923,561234,presidential-election-winner-2028,Will Marco Rubio win the 2028 US Presidential Election?,11096029.56794303,0.1435,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.611993,561261,presidential-election-winner-2028,Will Jon Ossoff win the 2028 US Presidential Election?,5010824.860881976,0.0735,active,"president, united states, us election, elections, politics, world elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.612028,561974,republican-presidential-nominee-2028,Will J.D. Vance win the 2028 Republican presidential nomination?,14317854.395783057,0.4005,active,"united states, politics, us election, elections, world elections, global elections, earn 4%, primaries"
2026-07-07T07:00:15.612032,561975,republican-presidential-nominee-2028,Will Marco Rubio win the 2028 Republican presidential nomination?,9685148.983563595,0.2595,active,"united states, politics, us election, elections, world elections, global elections, earn 4%, primaries"
2026-07-07T07:00:15.612132,562793,which-party-will-win-the-senate-in-2026,Will the Democratic Party control the Senate after the 2026 Midterm elections?,1762503.416410009,0.455,active,"senate, parent for derivative, united states, us election, politics, midterms, world elections, elections, global elections, earn 4%, congress, main election"
2026-07-07T07:00:15.612139,562794,which-party-will-win-the-senate-in-2026,Will the Republican Party control the Senate after the 2026 Midterm elections?,1356822.708868012,0.535,active,"senate, parent for derivative, united states, us election, politics, midterms, world elections, elections, global elections, earn 4%, congress, main election"
2026-07-07T07:00:15.612148,562802,which-party-will-win-the-house-in-2026,Will the Democratic Party control the House after the 2026 Midterm elections?,4474873.4727519415,0.835,active,"parent for derivative, united states, us election, politics, midterms, world elections, elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.612152,562803,which-party-will-win-the-house-in-2026,Will the Republican Party control the House after the 2026 Midterm elections?,3731342.53387794,0.155,active,"parent for derivative, united states, us election, politics, midterms, world elections, elections, global elections, earn 4%, main election"
2026-07-07T07:00:15.612163,562828,balance-of-power-2026-midterms,"2026 Balance of Power: D Senate, D House",2133333.031020999,0.435,active,"united states, rewards 20, 4.5, 50, politics, us election, elections, midterms, earn 4%, main election"
2026-07-07T07:00:15.612170,562830,balance-of-power-2026-midterms,"2026 Balance of Power: R Senate, D House",1572565.6209419922,0.405,active,"united states, rewards 20, 4.5, 50, politics, us election, elections, midterms, earn 4%, main election"
